#{"t_start": 1763749154.972331, "env_id": "None"}
r,l,t
-1497.9756,18,10.872487
-1293.1353,17,10.891702
-1609.2377,19,10.891768
-1422.1714,26,10.891786
-954.7975,5,10.906109
-235.41724,26,10.918358
-994.62177,3,10.931343
-2496.1538,9,10.958702
-1703.3578,9,10.958778
-730.77747,36,10.958796
-3326.1274,35,10.985803
-1026.5275,2,10.985896
-1006.7399,5,10.996286
-888.41547,28,11.010682
38.395874,24,11.010765
-1064.2463,3,11.039983
-1864.5435,11,11.040066
-1643.1438,14,11.040082
834.6558,30,11.053045
-983.3075,9,11.080563
-1376.9458,7,11.08088
-1785.5116,26,11.080932
-2140.9258,16,11.108202
-1569.5428,120,11.108261
-1050.6865,8,11.124578
-1578.395,7,11.136736
-933.0909,6,11.163697
-991.2886,4,11.163765
-336.4527,38,11.163781
-1531.9303,7,11.177311
-2014.144,4,11.192133
-2636.2979,26,11.20635
-843.71387,31,11.206466
-876.38513,23,11.221883
-2629.4905,8,11.237412
276.37048,127,11.279324
-1062.7716,14,11.295103
-1539.0511,8,11.295152
-1491.998,4,11.314462
-1853.3611,6,11.314557
-2920.3691,20,11.314575
-1737.2278,5,11.31458
-2167.7769,28,11.329242
-1192.951,75,11.345236
-1410.5779,15,11.345309
-977.6333,9,11.36018
-1042.9226,2,11.38786
-1866.9773,7,11.414778
-2059.1748,7,11.429999
-957.0957,5,11.430088
-958.4239,17,11.444019
-1177.8915,7,11.457908
-993.97516,26,11.457973
-2011.7009,18,11.474463
-1492.53,5,11.489627
-965.96857,2,11.489719
-1065.5132,2,11.489735
-2105.4094,41,11.48974
-1056.8806,5,11.510939
906.47375,58,11.511018
-1362.1592,6,11.52558
-1467.2622,3,11.541848
-1311.8408,5,11.558786
-779.659,5,11.575998
-468.80902,52,11.576057
-1007.50867,5,11.576073
-1637.0336,8,11.576081
-1453.7474,3,11.625151
-157.4997,21,11.639133
-1880.6266,44,11.667782
-1070.2919,8,11.667872
-808.8729,18,11.682297
-4340.3105,47,11.682372
-1014.2315,2,11.695872
-1069.6575,2,11.70967
-1318.0173,12,11.709737
-2056.794,26,11.722793
-180.84131,29,11.746823
-1829.1775,5,11.746907
-1071.3756,12,11.804974
-2597.3096,5,11.827024
-599.42004,40,11.841887
-2543.5747,23,11.877322
-1653.5156,16,11.891688
-2012.0464,15,11.919374
-699.5056,73,11.91946
-1424.4712,3,11.935833
-1902.6072,24,11.94943
-76.26019,24,11.949496
-1036.2422,2,11.980688
-1277.1178,18,11.980758
-1036.5929,10,11.99387
-4497.1904,43,11.993926
-1933.415,5,11.993942
-1074.2463,2,12.007811
872.26196,30,12.02257
-4032.901,35,12.046313
-2458.2842,34,12.046377
-1013.1708,11,12.046393
-1081.0249,3,12.046398
390.50195,65,12.060038
-1744.576,17,12.086724
-902.1116,6,12.099537
-672.9354,5,12.11156
-1280.5979,9,12.126042
-1119.8495,6,12.141302
-942.52637,5,12.154913
-1292.4746,53,12.155016
-995.47205,31,12.19108
-1250.9133,6,12.191149
-1419.8484,11,12.208067
-1891.2292,57,12.208205
-1414.3955,17,12.208552
-3111.558,13,12.238479
-976.76904,68,12.23856
-1583.0562,33,12.25655
-98.93402,78,12.256653
-2503.883,35,12.267735
-1496.3235,4,12.304852
-1739.7303,7,12.30496
-2546.5059,13,12.366163
-612.88617,26,12.399524
-853.5773,7,12.41933
-1292.7124,11,12.419449
-1768.6669,29,12.437335
-1268.6808,19,12.473812
-521.79517,16,12.473893
-2007.1996,13,12.47391
-1918.9584,4,12.535432
-2554.396,20,12.535513
-2056.4492,15,12.547134
-1230.5804,12,12.561773
-490.857,18,12.561853
-2678.4521,63,12.56187
-1428.1644,22,12.561877
-562.2565,28,12.574007
2182.4395,53,12.646455
-1529.271,15,12.662891
-2556.5518,7,12.682041
-1730.115,47,12.682118
-1452.5481,17,12.700089
-977.1909,14,12.700166
-3221.8843,31,12.700183
-896.81494,13,12.785359
-1522.323,5,12.877005
-1543.177,33,12.909704
-990.7697,2,12.952079
3424.2666,69,12.952252
-1076.3645,2,12.991002
-797.668,8,12.99108
-1069.5027,9,12.991097
-1401.729,9,12.991105
-3219.745,18,13.07788
-1384.942,4,13.138776
927.6445,53,13.138863
-1475.9231,5,13.138881
-536.47363,20,13.171289
-910.18274,5,13.171377
225.22272,63,13.186324
-1027.6011,2,13.186394
-1875.3461,7,13.18641
-1014.3138,2,13.200502
-808.0372,17,13.200593
205.1222,52,13.246482
-1022.3264,32,13.246547
-464.79053,54,13.246564
-1478.5149,19,13.259136
-1214.6616,62,13.278055
-994.405,2,13.278115
-1029.7,2,13.27813
-954.4575,6,13.278137
-2214.7244,13,13.292293
-3051.5222,39,13.292346
-2085.197,25,13.308973
-351.60895,30,13.309049
125.98584,31,13.329181
-1492.8025,3,13.329283
-1733.1565,6,13.346944
-1028.4841,2,13.347034
-1233.0723,10,13.347052
-1991.8198,5,13.364148
-1030.0223,3,13.36424
-2323.6355,14,13.376572
-1398.3264,4,13.389422
-3333.5166,12,13.389499
-1706.971,14,13.403494
-1144.7576,3,13.403571
-1317.811,4,13.403588
-1024.476,6,13.416078
-1975.6897,7,13.451756
-1432.5137,12,13.451825
126.69141,47,13.45184
-867.09796,4,13.470454
-1098.0408,3,13.516769
-1549.2559,8,13.531796
-409.80353,27,13.531893
-2100.9822,23,13.531921
-273.41003,44,13.531934
-1143.9625,14,13.531941
-941.5637,16,13.552215
-1034.6011,2,13.55228
-2878.5684,21,13.552294
-941.7271,3,13.604328
-1447.2402,4,13.626227
-1633.7661,8,13.66845
-2509.3838,13,13.668565
376.77222,20,13.668596
-1563.5353,4,13.668604
-1009.26416,28,13.693249
-1330.6572,6,13.718925
-1916.968,9,13.78022
-690.75574,23,13.780324
-991.8639,3,13.780642
-1027.0311,3,13.79644
-2469.2246,6,13.815971
-1840.6313,15,13.816039
-1191.2188,6,13.816055
-1090.7914,2,13.816062
-1453.7571,11,13.816067
-1458.3628,4,13.849588
-2081.3003,19,13.84968
-2151.935,17,13.849699
-1820.8044,46,13.864115
-1009.1188,4,13.896015
-2549.0542,23,13.92193
-977.17596,5,13.922006
-1393.2395,6,13.938251
-1073.5486,2,13.964337
-742.3479,17,13.964423
2180.0718,64,13.976985
-2402.6724,14,13.977054
-1919.18,8,14.017348
-1172.2769,8,14.017436
-1078.379,4,14.017462
-1784.0298,4,14.040647
-2746.367,19,14.077954
-1050.9436,4,14.101776
-1801.9365,39,14.146394
-1141.3035,6,14.190825
-1531.9061,4,14.203255
-2209.309,13,14.23637
1794.7827,47,14.287635
-2193.763,23,14.318811
-1092.1272,31,14.335936
-338.70227,29,14.336
-2709.207,22,14.353466
-808.59436,39,14.375314
-1078.6311,3,14.390196
-1325.0571,33,14.403261
-1057.4087,4,14.403332
-1049.53,5,14.403348
-1114.3241,3,14.420284
-2174.7676,8,14.420401
-888.12494,24,14.436755
-1500.1396,55,14.465436
-1124.616,3,14.465523
-2601.1846,5,14.503491
-1153.3125,9,14.503598
-1347.66,21,14.558887
-2261.2812,8,14.578537
-2219.4517,22,14.614288
-1703.1001,6,14.614585
-1218.6941,42,14.614616
-327.87982,66,14.631043
-1492.9093,8,14.647511
-1046.8928,2,14.647654
-1741.4272,11,14.66424
-620.6749,46,14.664341
-571.841,86,14.715199
-962.4238,2,14.715554
-2527.9507,6,14.755117
-48.99695,59,14.755188
-1063.1559,2,14.755206
-1897.0056,7,14.755213
-1003.25555,6,14.771595
-658.58026,54,14.77169
-1689.4924,46,14.771727
-2184.4487,12,14.788616
-1874.5245,5,14.804322
-1374.7234,51,14.804415
-1684.4753,8,14.822613
-948.8848,3,14.837406
787.70667,68,14.837489
-2177.4028,7,14.872171
-992.73883,2,14.872256
-572.9346,26,14.872285
-1197.3069,7,14.890179
-1020.95233,3,14.890253
-1072.0332,5,14.903982
-2461.6555,51,14.904063
-1074.984,2,14.942896
-857.2433,5,14.958242
-1023.35785,33,14.975109
-1214.0312,6,14.9902
-1595.3474,4,15.004636
